"Cluster","RAJ2000","DEJ2000","GLON","GLAT","r50","Nstars","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","plx","s_plx","e_plx","d05","d16","dmode","d84","d95","dmode+01","dmode-01","X","Y","Z","Rgc"
"Teutsch_11",96.352,13.878,197.645,0.656,0.029,25,0.382,0.162,0.027,-0.619,0.134,0.03,0.176,0.059,0.013,4440.5,4609.4,4890.7,5203.4,5441.0,3284.0,9574.1,-4660.3,-1482.4,56.0,13084.6
"Teutsch_12",96.428,13.611,197.916,0.597,0.047,58,-0.704,0.15,0.024,-0.98,0.176,0.021,0.234,0.069,0.01,3578.6,3663.0,3797.3,3943.0,4046.6,2751.9,6122.5,-3612.9,-1168.1,39.6,12009.9
"Teutsch_125",333.316,58.939,103.742,2.092,0.065,29,-3.867,0.145,0.03,-2.78,0.129,0.028,0.469,0.047,0.009,1965.5,1982.1,2008.1,2034.1,2051.8,1672.3,2512.7,-476.7,1949.3,73.3,9029.6
"Teutsch_126",333.455,55.712,101.977,-0.611,0.093,67,-1.82,0.077,0.012,-2.23,0.069,0.011,0.437,0.037,0.005,2121.2,2132.1,2147.7,2164.5,2176.5,1767.9,2735.2,-445.7,2100.8,-22.9,9033.3
"Teutsch_127",334.747,56.121,102.806,-0.675,0.03,36,-3.344,0.152,0.023,-2.417,0.137,0.026,0.242,0.032,0.005,3568.8,3615.0,3689.5,3764.1,3817.3,2694.9,5848.1,-817.7,3597.5,-43.4,9839.0
"Teutsch_13",100.984,1.404,210.827,-1.029,0.055,18,-0.097,0.093,0.049,0.518,0.078,0.035,0.155,0.038,0.01,4915.8,5107.5,5431.5,5801.7,6072.7,3520.9,11894.7,-4663.4,-2782.9,-97.5,13297.8
"Teutsch_143a",167.141,-60.741,290.686,-0.338,0.033,115,-5.602,0.074,0.009,2.283,0.079,0.008,0.219,0.038,0.004,3943.5,3980.9,4034.9,4093.1,4130.5,2874.7,6765.7,1425.3,-3774.7,-23.8,7877.9
"Teutsch_144",320.438,50.595,92.726,0.446,0.106,78,-1.89,0.119,0.018,-3.129,0.09,0.026,0.352,0.041,0.005,2592.0,2604.8,2626.7,2646.7,2663.2,2080.1,3562.9,-124.9,2623.6,20.5,8862.2
"Teutsch_145",280.617,-5.249,27.24,-0.403,0.019,81,-1.635,0.222,0.025,-3.436,0.145,0.025,0.264,0.119,0.014,3212.4,3289.5,3419.0,3554.7,3653.3,2547.6,5189.1,3039.7,1564.9,-24.0,5526.4
"Teutsch_14a",270.873,-22.12,7.917,-0.027,0.045,60,-0.369,0.087,0.013,-1.611,0.093,0.014,0.343,0.048,0.007,2613.9,2645.6,2690.5,2739.1,2772.7,2120.0,3681.1,2664.8,370.6,-1.3,5687.2
"Teutsch_156",315.95,47.215,88.246,0.264,0.039,131,-3.432,0.201,0.02,-3.826,0.146,0.015,0.17,0.096,0.008,4794.5,4884.7,5019.9,5170.1,5275.3,3345.1,10102.0,153.7,5017.5,23.1,9601.6
"Teutsch_2",85.342,39.237,170.752,4.643,0.05,90,0.533,0.159,0.017,-1.366,0.12,0.016,0.167,0.074,0.01,4817.6,4936.3,5110.4,5308.2,5442.7,3382.7,10470.6,-5027.4,818.6,413.6,13392.5
"Teutsch_22",315.428,44.114,85.684,-1.522,0.027,96,-3.519,0.14,0.017,-4.84,0.15,0.017,0.188,0.074,0.008,4455.0,4512.2,4607.4,4702.7,4774.1,3153.2,8535.3,346.7,4592.7,-122.4,9218.8
"Teutsch_23",356.976,62.996,115.792,1.008,0.048,37,-2.986,0.102,0.035,-1.387,0.07,0.017,0.29,0.038,0.006,3051.3,3086.0,3135.6,3187.7,3222.4,2387.2,4567.6,-1364.1,2822.8,55.2,10106.3
"Teutsch_27",294.343,18.7,54.735,-1.24,0.009,20,-2.924,0.053,0.015,-6.308,0.059,0.021,0.245,0.046,0.011,3480.3,3546.0,3651.2,3762.9,3841.8,2675.0,5756.4,2107.6,2980.4,-79.0,6908.4
"Teutsch_28",307.059,35.103,74.625,-2.078,0.058,65,-2.076,0.429,0.054,-3.936,0.283,0.04,0.242,0.138,0.018,3479.4,3560.4,3694.0,3835.8,3937.0,2697.1,5852.6,978.8,3559.5,-133.9,8176.7
"Teutsch_30",306.929,36.074,75.352,-1.426,0.026,31,-3.18,0.104,0.024,-5.692,0.143,0.027,0.539,0.041,0.009,1724.1,1737.3,1759.8,1781.3,1797.1,1496.3,2134.5,444.9,1702.0,-43.8,8076.5
"Teutsch_31",163.209,-59.463,288.374,0.014,0.02,21,-6.155,0.101,0.026,2.451,0.103,0.021,0.145,0.039,0.006,5212.9,5412.8,5751.1,6127.9,6420.1,3650.2,13542.8,1812.9,-5457.9,1.4,8508.4
"Teutsch_35",294.091,35.742,69.565,7.218,0.414,149,-0.683,0.188,0.022,-2.439,0.191,0.024,2.007,0.057,0.005,490.4,490.8,491.3,491.8,492.2,468.3,516.7,170.2,456.7,61.7,8182.6
"Teutsch_38",131.523,-38.025,259.122,3.175,0.615,109,-8.636,0.211,0.026,3.669,0.18,0.023,1.502,0.058,0.007,651.3,652.1,653.3,654.4,655.2,613.2,698.9,-123.1,-640.5,36.2,8487.3
"Teutsch_42",292.554,18.535,53.769,0.163,0.005,14,-3.116,0.115,0.028,-5.83,0.147,0.041,0.182,0.084,0.02,3897.3,4192.7,4734.2,5439.9,6047.1,3212.2,9029.2,2798.1,3818.8,13.5,6730.2
"Teutsch_44",155.347,-54.45,282.18,2.262,0.024,45,-4.613,0.112,0.02,2.239,0.126,0.019,0.1,0.07,0.008,7057.5,7309.3,7737.5,8228.6,8593.8,4364.0,34271.7,1631.2,-7557.4,305.3,10105.6
"Teutsch_49",109.596,-17.585,231.601,-2.192,0.077,90,-0.347,0.135,0.023,0.104,0.174,0.027,0.35,0.09,0.01,2574.2,2601.7,2639.7,2681.9,2709.4,2088.4,3589.5,-1638.4,-2067.2,-101.0,10190.3
"Teutsch_50",121.787,-36.057,253.008,-2.006,0.023,19,-2.899,0.135,0.031,2.327,0.079,0.028,0.229,0.062,0.015,3616.4,3713.3,3869.3,4037.9,4160.1,2790.1,6312.2,-1130.1,-3698.1,-135.4,10166.5
"Teutsch_51",88.463,26.834,182.738,0.48,0.034,89,0.545,0.215,0.025,-0.345,0.188,0.026,0.216,0.095,0.011,3832.9,3932.8,4084.7,4253.9,4371.1,2899.7,6907.1,-4079.9,-195.1,34.2,12421.4
"Teutsch_52",82.575,38.244,170.431,2.289,0.063,18,0.059,0.175,0.049,-0.136,0.357,0.078,0.158,0.098,0.024,4630.8,4891.6,5345.0,5889.2,6308.7,3479.7,11500.1,-5266.5,887.8,213.5,13635.4
"Teutsch_54",341.858,59.781,107.907,0.577,0.027,31,-2.878,0.198,0.047,-1.762,0.071,0.013,0.212,0.056,0.011,3980.6,4048.7,4153.0,4266.4,4343.5,2934.0,7104.1,-1276.8,3951.6,41.8,10397.1
"Teutsch_61",113.661,-19.793,235.375,0.145,0.028,50,-2.277,0.084,0.015,3.145,0.098,0.017,0.31,0.045,0.008,2873.1,2905.8,2952.6,3004.0,3039.0,2279.3,4190.0,-1677.6,-2429.6,7.5,10308.1
"Teutsch_66",143.368,-52.381,275.279,-0.475,0.02,28,-4.152,0.087,0.017,3.184,0.071,0.015,0.191,0.058,0.011,4286.7,4382.5,4543.8,4710.2,4836.2,3122.3,8322.1,418.0,-4524.4,-37.7,9122.9
"Teutsch_7",296.928,24.273,60.767,-0.559,0.042,34,-2.944,0.093,0.017,-4.936,0.16,0.03,0.191,0.07,0.016,4165.7,4313.8,4536.0,4795.2,4980.4,3121.0,8293.7,2215.1,3958.1,-44.3,7292.5
"Teutsch_74",326.422,58.097,100.368,3.61,0.04,96,-3.244,0.161,0.024,-3.064,0.207,0.025,0.218,0.077,0.008,3895.0,3956.0,4045.6,4143.3,4212.6,2880.5,6793.2,-726.6,3971.7,254.7,9898.4
"Teutsch_8",300.598,35.31,71.86,2.424,0.006,28,-3.496,0.149,0.047,-6.704,0.313,0.046,0.492,0.07,0.016,1881.6,1896.4,1919.1,1941.8,1957.6,1610.0,2375.1,597.0,1822.1,81.2,7954.5
"Teutsch_80",223.361,-60.478,317.418,-1.084,0.039,119,-5.553,0.117,0.012,-3.581,0.142,0.016,0.349,0.065,0.006,2593.7,2616.5,2648.7,2682.9,2705.6,2093.9,3603.3,1949.9,-1791.9,-50.1,6636.6
"Teutsch_84",256.09,-42.07,344.445,-0.456,0.035,179,-1.738,0.246,0.022,-1.109,0.244,0.019,0.406,0.16,0.013,2229.2,2256.9,2297.1,2340.1,2369.2,1867.9,2982.5,2212.9,-616.0,-18.3,6158.0
"Teutsch_85",258.309,-39.718,347.333,-0.398,0.038,83,-1.864,0.126,0.017,-3.123,0.116,0.014,0.14,0.08,0.01,5491.4,5648.8,5902.0,6182.6,6381.0,3712.9,14414.7,5758.2,-1294.2,-41.0,2888.0
"Toepler_1",300.318,33.615,70.299,1.724,0.016,28,-2.349,0.069,0.012,-5.081,0.067,0.013,0.252,0.027,0.006,3455.5,3495.9,3558.0,3620.1,3663.5,2623.0,5520.1,1198.9,3348.2,107.0,7887.0
"Tombaugh_1",105.126,-20.569,232.339,-7.311,0.051,213,-2.564,0.103,0.009,3.833,0.107,0.009,0.371,0.045,0.003,2475.3,2486.3,2502.2,2518.0,2529.0,2001.5,3336.8,-1516.4,-1964.7,-318.4,10050.3
"Tombaugh_2",105.773,-20.82,232.836,-6.88,0.028,263,-0.464,0.17,0.014,1.349,0.177,0.013,0.079,0.082,0.006,8773.3,8960.8,9273.3,9585.8,9815.0,4811.6,50000.0,-5561.7,-7336.8,-1110.8,15718.9
"Tombaugh_4",37.305,61.787,134.216,1.077,0.055,174,-1.057,0.139,0.013,-0.163,0.162,0.017,0.275,0.096,0.008,3221.4,3250.8,3294.9,3339.0,3371.4,2478.1,4913.8,-2297.3,2361.1,61.9,10896.2
"Tombaugh_5",56.984,59.07,143.944,3.599,0.17,465,0.515,0.113,0.006,-2.388,0.12,0.006,0.561,0.041,0.002,1688.3,1691.3,1695.0,1698.7,1701.7,1449.3,2040.9,-1367.6,995.7,106.4,9758.5
"Trumpler_1",23.915,61.283,128.219,-1.134,0.031,69,-1.598,0.066,0.009,-0.541,0.06,0.009,0.348,0.035,0.005,2604.1,2622.0,2648.8,2675.7,2695.4,2094.1,3603.3,-1638.4,2080.6,-52.4,10193.1
"Trumpler_10",131.943,-42.566,262.866,0.582,0.89,478,-12.532,0.401,0.022,6.527,0.275,0.013,2.287,0.075,0.004,431.4,431.5,431.8,432.0,432.2,413.9,451.3,-53.6,-428.4,4.4,8404.5
"Trumpler_11",151.248,-61.619,284.462,-4.869,0.057,84,-7.057,0.1,0.011,3.314,0.077,0.011,0.248,0.043,0.005,3534.7,3565.0,3612.1,3655.8,3689.5,2653.4,5655.7,898.8,-3485.0,-306.6,8216.8
"Trumpler_12",151.621,-60.29,283.822,-3.69,0.049,177,-6.913,0.091,0.007,4.463,0.087,0.007,0.253,0.043,0.003,3506.9,3525.7,3547.5,3575.6,3591.3,2618.8,5503.7,845.8,-3437.7,-228.3,8245.0
"Trumpler_13",155.952,-60.142,285.521,-2.359,0.045,220,-6.743,0.1,0.007,4.122,0.099,0.007,0.189,0.05,0.004,4527.3,4559.6,4597.3,4640.3,4667.2,3149.1,8511.7,1229.1,-4425.9,-189.2,8375.7
"Trumpler_14",160.986,-59.553,287.411,-0.579,0.044,321,-6.54,0.342,0.012,2.076,0.276,0.013,0.385,0.046,0.003,2398.6,2404.7,2413.7,2422.7,2430.2,1944.3,3181.8,722.2,-2303.0,-24.4,7958.3
