"n_Cluster","Cluster","V","RAJ2000","DEJ2000","Rad","N","Nc","pmRAc","e_pmRAc","pmDEc","e_pmDEc","rhoc","Nf","pmRAf","e_pmRAf","pmDEf","e_pmDEf","rhof","FileName","n_FileName","ocl_left","RV","e_RV","o_RV","r_RV","ocl_right","_RA","_DE"
"nan","ASCC 11","nan",53.07083,44.84,22.0,1803.0,1426.0,-0.05,2.33,-3.72,1.32,-0.21,377.0,1.87,15.45,-5.45,13.79,-0.17,"ASCC_11.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 110","nan",300.75,33.57,14.8,4397.0,3530.0,-1.81,2.7,-6.49,3.34,0.16,867.0,-1.53,26.09,-5.29,26.06,-0.07,"ASCC_110.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 111","nan",302.80414,37.45,34.0,11446.0,7694.0,-0.11,3.12,-0.07,5.24,0.15,3752.0,-1.04,18.21,5.64,17.45,0.06,"ASCC_111.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 113","nan",318.0,38.6,29.2,5762.0,4606.0,-1.78,2.59,-4.19,2.32,0.29,1156.0,-1.36,18.58,-4.42,15.92,0.05,"ASCC_113.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 114","nan",325.00418,53.97,10.6,884.0,653.0,-4.25,3.19,-4.52,1.64,0.27,231.0,-5.79,21.46,-3.81,20.04,-0.05,"ASCC_114.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 115","nan",329.22083,51.48,10.6,1171.0,883.0,0.27,2.48,-1.29,1.73,0.27,288.0,1.29,16.54,0.63,15.28,0.06,"ASCC_115.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 116","nan",329.64169,54.49,11.8,1015.0,857.0,-3.44,2.73,-4.05,2.23,0.41,158.0,-1.32,21.51,-3.34,16.08,-0.08,"ASCC_116.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 117","nan",331.24582,62.27,22.0,3164.0,2509.0,-1.0,3.22,-1.88,2.66,0.18,655.0,-1.26,20.27,0.32,18.06,0.11,"ASCC_117.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 119","nan",334.80002,46.9,13.6,1277.0,946.0,-1.52,2.94,-2.42,2.1,0.26,331.0,-0.12,15.17,-1.46,14.17,0.11,"ASCC_119.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 12","nan",72.47916,41.73,16.0,1286.0,1110.0,-0.45,1.95,-1.97,2.52,-0.16,176.0,-1.54,15.31,-5.82,15.0,0.09,"ASCC_12.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 120","nan",337.64999,57.21,19.0,3898.0,2925.0,-0.65,3.43,-1.97,2.74,0.26,973.0,0.81,15.31,0.48,15.66,0.07,"ASCC_120.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 121","nan",337.67917,54.9,14.8,1570.0,1292.0,-1.79,3.53,-0.24,2.83,0.46,278.0,3.54,15.62,0.36,13.67,0.06,"ASCC_121.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 122","nan",338.30832,39.61,44.2,5339.0,4145.0,-2.05,4.54,-3.07,2.84,0.3,1194.0,1.64,16.16,-4.08,13.87,0.19,"ASCC_122.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 123","nan",340.65002,54.26,77.8,48050.0,37144.0,-1.45,3.14,-1.72,1.97,0.23,10906.0,0.37,16.81,-1.41,15.17,0.05,"ASCC_123.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 125","nan",344.07083,62.75,34.0,3206.0,2332.0,-0.66,3.7,-1.47,2.67,0.22,874.0,2.85,16.89,0.31,14.29,0.1,"ASCC_125.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 126","nan",346.57498,51.05,19.0,1833.0,1467.0,-0.49,3.33,-1.58,2.13,0.19,366.0,-0.44,20.16,-1.26,17.71,-0.01,"ASCC_126.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 127","nan",347.09998,64.85,44.2,5812.0,4618.0,-0.86,3.94,-1.19,2.13,0.2,1194.0,2.31,16.07,-0.35,12.65,0.1,"ASCC_127.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 128","nan",350.14584,54.6,22.0,3225.0,2600.0,-1.79,2.97,-0.18,2.18,0.31,625.0,-0.02,17.17,1.16,15.28,0.04,"ASCC_128.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 13","nan",78.32916,44.58,43.0,9187.0,8033.0,1.99,1.99,-2.42,2.05,-0.03,1154.0,4.0,15.65,-6.15,16.43,-0.05,"ASCC_13.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 130","nan",358.20001,62.44,10.0,951.0,705.0,0.84,3.68,4.58,3.81,0.13,246.0,2.99,16.66,7.25,15.59,0.04,"ASCC_130.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 14","nan",80.12917,35.22,14.2,737.0,636.0,-1.27,1.99,-4.76,2.3,-0.13,101.0,-0.22,15.36,-8.18,13.63,0.13,"ASCC_14.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 15","nan",80.65417,36.55,13.0,755.0,649.0,-2.24,2.25,-5.51,2.6,0.04,106.0,-1.77,18.86,-8.35,16.62,-0.1,"ASCC_15.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 17","nan",81.3,30.17,16.0,1078.0,901.0,2.55,1.2,-3.74,2.06,-0.16,177.0,3.67,18.43,-6.65,16.93,-0.14,"ASCC_17.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 18","nan",81.54166,0.82,38.2,2659.0,2099.0,2.67,2.0,-1.96,2.55,-0.02,560.0,5.0,12.51,-5.83,13.41,-0.05,"ASCC_18.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 19","nan",81.94582,-1.98,49.0,3125.0,2412.0,1.43,2.55,-1.0,3.71,-0.07,713.0,3.59,13.33,-5.03,14.22,-0.05,"ASCC_19.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 2","nan",4.96667,55.71,19.0,1906.0,1490.0,0.24,3.26,-1.19,1.83,0.0,416.0,1.23,18.91,-0.08,15.05,0.12,"ASCC_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 20","nan",82.18333,1.63,46.0,4073.0,3153.0,1.85,2.69,-3.36,3.2,-0.02,920.0,4.56,13.47,-7.04,13.79,-0.02,"ASCC_20.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 21","nan",82.24583,3.65,49.0,4931.0,4065.0,1.6,2.45,-3.82,3.11,-0.12,866.0,3.56,14.52,-8.19,15.72,0.0,"ASCC_21.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 23","nan",95.08334,46.67,22.6,1369.0,1120.0,0.11,2.72,-5.98,3.77,0.07,249.0,1.6,14.95,-10.32,16.66,-0.07,"ASCC_23.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 24","nan",97.18333,-7.02,22.0,1052.0,791.0,0.4,2.53,-3.46,1.41,-0.1,261.0,1.5,11.65,-4.98,12.23,-0.05,"ASCC_24.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 25","nan",101.38333,24.6,13.6,700.0,619.0,-2.06,1.92,-3.99,1.35,-0.1,81.0,-2.13,16.32,-10.01,15.2,0.18,"ASCC_25.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 26","nan",102.60001,7.25,11.2,657.0,463.0,-0.73,1.88,-3.14,2.25,-0.1,194.0,1.45,16.52,-1.46,18.02,-0.04,"ASCC_26.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 27","nan",103.47083,-4.39,13.0,695.0,546.0,-0.78,2.16,0.69,2.0,0.07,149.0,0.39,14.1,-1.01,13.79,-0.01,"ASCC_27.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 28","nan",103.51667,-0.17,19.0,2343.0,1810.0,0.62,1.65,-2.82,2.28,0.05,533.0,1.63,15.69,-4.35,16.05,-0.01,"ASCC_28.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 29","nan",103.575,-1.65,14.2,1372.0,1019.0,2.06,2.13,-3.38,2.95,-0.13,353.0,1.31,17.33,-3.06,18.42,0.02,"ASCC_29.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 3","nan",7.7875,55.28,13.6,1018.0,877.0,0.85,3.42,-2.75,1.75,0.09,141.0,2.16,17.74,-2.33,14.75,-0.16,"ASCC_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 30","nan",104.25,-6.21,16.6,1578.0,1316.0,-0.35,1.78,-1.54,0.98,-0.15,262.0,0.21,15.73,-0.99,15.7,0.01,"ASCC_30.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 31","nan",105.225,3.5,11.2,578.0,532.0,-1.08,3.08,-1.47,2.41,0.14,46.0,1.97,18.48,-4.06,21.46,-0.05,"ASCC_31.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 33","nan",105.79584,-25.05,55.0,16025.0,13631.0,-1.86,2.46,0.22,3.27,-0.13,2394.0,-1.75,14.9,-1.22,16.26,-0.03,"ASCC_33.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 34","nan",107.62499,6.07,19.0,1643.0,1307.0,-3.16,2.26,-0.8,2.29,0.05,336.0,-2.65,18.61,-2.55,18.62,-0.02,"ASCC_34.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 35","nan",108.16666,2.12,25.0,3334.0,2411.0,0.84,3.08,0.65,3.21,-0.01,923.0,3.15,17.49,0.46,17.85,-0.05,"ASCC_35.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 36","nan",108.62917,-21.12,11.8,778.0,670.0,-1.89,1.65,0.25,2.91,-0.13,108.0,-0.82,15.56,0.01,16.65,0.16,"ASCC_36.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 37","nan",109.51667,-24.48,10.6,828.0,719.0,-1.71,2.88,3.61,3.3,-0.16,109.0,-1.12,18.9,0.71,20.36,-0.09,"ASCC_37.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 38","nan",111.79583,-5.55,16.6,1738.0,1450.0,-3.46,1.36,-0.32,1.03,-0.23,288.0,-0.38,16.01,-0.98,15.77,-0.02,"ASCC_38.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 39","nan",113.25,-22.95,19.0,1677.0,1501.0,-2.22,3.23,0.75,3.88,-0.24,176.0,-4.53,20.98,2.53,21.79,-0.22,"ASCC_39.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 4","nan",13.29167,61.58,25.0,2611.0,2107.0,-1.1,3.17,0.19,1.79,-0.12,504.0,2.69,16.67,-2.19,13.4,0.05,"ASCC_4.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 40","nan",113.40001,-13.76,11.8,1131.0,913.0,-2.47,1.78,1.72,1.4,-0.11,218.0,-2.38,11.11,0.89,14.52,-0.18,"ASCC_40.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 43","nan",118.27499,-28.17,22.0,4057.0,3384.0,-2.95,2.85,1.29,2.95,-0.17,673.0,-2.19,17.35,0.62,18.65,-0.04,"ASCC_43.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 45","nan",123.95834,-35.65,13.0,1434.0,1210.0,-2.84,3.52,-1.34,3.42,-0.13,224.0,-6.25,23.75,-0.26,24.09,-0.15,"ASCC_45.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 46","nan",124.14166,-48.51,25.0,2988.0,2519.0,-2.47,3.39,4.68,4.11,-0.3,469.0,-3.01,19.08,4.12,22.34,-0.14,"ASCC_46.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 48","nan",128.625,-37.61,20.2,2550.0,2116.0,-2.46,3.8,1.2,3.75,-0.21,434.0,-3.59,20.13,0.3,20.4,-0.09,"ASCC_48.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 5","nan",14.49167,55.84,8.8,353.0,290.0,-0.2,3.74,-1.83,1.91,0.08,63.0,5.37,21.02,1.38,11.06,-0.3,"ASCC_5.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 51","nan",139.5,-69.69,40.6,6504.0,5629.0,-3.88,4.91,6.6,4.99,-0.35,875.0,-8.66,24.95,10.16,24.68,-0.17,"ASCC_51.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 52","nan",141.99167,-54.26,17.2,2930.0,2397.0,-1.35,3.76,0.12,3.36,-0.24,533.0,-3.51,17.74,-0.57,18.41,-0.07,"ASCC_52.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 53","nan",144.47917,-59.55,19.6,3731.0,3049.0,-2.48,2.99,3.1,2.68,-0.17,682.0,-2.61,17.95,2.56,17.17,-0.11,"ASCC_53.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 54","nan",146.19167,-54.44,14.2,2225.0,1808.0,-3.73,3.1,0.14,3.16,-0.19,417.0,-6.75,20.63,1.08,20.51,-0.14,"ASCC_54.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 55","nan",148.575,-57.08,14.8,1666.0,1424.0,-3.21,3.99,1.03,3.45,-0.2,242.0,-6.09,24.19,0.36,24.66,0.08,"ASCC_55.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 56","nan",152.05417,-64.37,22.0,5050.0,4022.0,-7.29,3.64,4.15,3.37,-0.14,1028.0,-7.46,19.25,4.48,21.15,-0.02,"ASCC_56.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 57","nan",152.70001,-66.68,23.8,4355.0,3620.0,-7.85,4.13,3.71,3.35,-0.23,735.0,-9.49,21.5,4.07,18.73,-0.02,"ASCC_57.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 58","nan",153.77917,-54.97,25.0,5832.0,4873.0,-5.63,3.61,0.45,2.31,-0.2,959.0,-6.49,18.39,1.29,17.08,-0.09,"ASCC_58.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 59","nan",155.05417,-57.65,22.0,5164.0,4107.0,-3.64,3.66,1.54,3.15,-0.08,1057.0,-5.34,16.46,1.14,16.2,-0.04,"ASCC_59.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 6","nan",26.80416,57.73,19.0,2013.0,1492.0,0.55,3.01,-1.56,1.49,-0.14,521.0,1.81,16.73,-1.66,12.14,-0.03,"ASCC_6.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 60","nan",158.27917,-58.48,8.2,1228.0,900.0,-3.97,3.97,-3.26,3.6,-0.21,328.0,-5.11,18.94,-3.92,20.94,-0.04,"ASCC_60.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 61","nan",161.53333,-56.86,20.2,6350.0,4681.0,-4.54,3.13,-0.22,3.65,-0.12,1669.0,-4.76,24.37,-1.82,26.0,-0.09,"ASCC_61.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 62","nan",162.72083,-60.1,17.8,5776.0,4389.0,-4.23,2.73,-1.38,1.84,-0.12,1387.0,-4.49,20.95,-1.46,23.44,-0.04,"ASCC_62.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 63","nan",163.96667,-60.41,10.0,2254.0,1691.0,-2.72,2.53,-1.43,2.69,-0.24,563.0,-1.21,21.14,-1.65,24.17,-0.1,"ASCC_63.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 64","nan",165.76666,-60.92,11.8,3632.0,2532.0,-2.94,3.68,-3.58,4.23,-0.15,1100.0,-3.57,20.33,-3.73,20.08,0.03,"ASCC_64.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 65","nan",167.77501,-61.12,14.2,3983.0,2902.0,-3.48,3.52,-2.27,2.93,-0.17,1081.0,-4.9,21.25,-2.97,20.06,0.03,"ASCC_65.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 66","nan",168.40416,-55.42,19.0,2831.0,2315.0,-6.31,4.54,0.57,2.97,-0.14,516.0,-8.65,21.17,0.34,21.6,-0.14,"ASCC_66.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 67","nan",175.37917,-61.02,13.0,3863.0,2667.0,-1.22,3.72,-3.76,3.05,-0.06,1196.0,-2.82,21.16,-5.27,20.08,0.02,"ASCC_67.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 69","nan",181.65001,-69.77,25.0,5282.0,4248.0,-5.52,3.7,2.56,2.7,0.0,1034.0,-7.33,24.43,1.68,23.93,-0.03,"ASCC_69.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 7","nan",29.72917,58.97,16.0,1534.0,1296.0,0.24,2.52,-0.98,1.62,-0.09,238.0,2.33,12.66,-1.79,12.62,-0.02,"ASCC_7.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 70","nan",183.75,-64.43,19.0,5669.0,4173.0,-4.99,4.49,1.2,3.65,-0.02,1496.0,-6.21,21.03,1.53,19.02,-0.03,"ASCC_70.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 71","nan",185.17499,-67.52,25.6,8165.0,6144.0,-4.41,4.82,1.68,4.21,0.0,2021.0,-5.29,19.04,2.01,18.79,0.01,"ASCC_71.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 72","nan",188.25,-60.95,16.0,5236.0,4054.0,-2.35,3.9,-1.95,2.49,-0.02,1182.0,-3.66,19.7,-2.48,21.33,-0.04,"ASCC_72.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 74","nan",203.95416,-58.81,13.0,2525.0,1690.0,-2.79,4.91,-3.68,3.6,0.06,835.0,-2.09,18.46,-4.85,18.98,-0.03,"ASCC_74.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 75","nan",206.79167,-62.42,11.2,1522.0,1117.0,-4.35,3.86,-6.64,3.65,0.05,405.0,-5.29,20.64,-7.39,17.7,0.04,"ASCC_75.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 76","nan",208.06667,-66.4,22.0,8147.0,5823.0,-3.36,4.59,-6.4,3.66,0.03,2324.0,-4.26,19.06,-6.28,19.84,0.05,"ASCC_76.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 77","nan",212.70001,-62.33,20.2,5017.0,3849.0,-6.37,4.2,-4.66,3.26,0.12,1168.0,-9.46,23.58,-5.7,22.26,0.0,"ASCC_77.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 78","nan",226.27499,-68.39,10.6,1113.0,918.0,-3.77,4.32,-3.08,3.17,0.26,195.0,-4.24,21.86,-1.31,20.75,-0.04,"ASCC_78.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 79","nan",229.79999,-60.73,32.2,13740.0,10059.0,-4.81,4.42,-4.57,4.14,0.1,3681.0,-5.38,22.11,-4.32,22.74,0.03,"ASCC_79.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 8","nan",35.20417,59.61,19.0,1832.0,1411.0,0.56,1.68,-0.43,0.9,-0.07,421.0,5.34,15.08,-4.87,12.44,-0.1,"ASCC_8.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 80","nan",231.14999,-60.14,16.0,3784.0,2794.0,-5.45,4.92,-3.32,4.57,0.14,990.0,-5.62,27.22,-3.08,27.02,0.13,"ASCC_80.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 81","nan",236.72916,-50.98,16.6,1891.0,1511.0,-3.76,3.78,-4.88,3.73,0.25,380.0,-5.61,18.16,-8.25,19.8,0.14,"ASCC_81.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 82","nan",236.85001,-64.41,19.0,4548.0,3502.0,-4.52,4.64,-4.31,4.97,0.16,1046.0,-4.15,23.19,-5.21,25.36,-0.03,"ASCC_82.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 83","nan",237.55417,-52.8,13.6,1485.0,1215.0,-4.04,4.09,-5.05,4.47,0.22,270.0,-5.96,27.07,-5.66,27.44,0.06,"ASCC_83.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 84","nan",238.72501,-60.74,16.0,3305.0,2561.0,-5.49,3.86,-3.44,4.14,0.12,744.0,-7.54,22.36,-4.01,21.65,-0.01,"ASCC_84.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 85","nan",251.87917,-45.46,14.2,2174.0,1658.0,-1.17,2.88,-3.01,3.33,0.12,516.0,-7.23,31.09,-4.41,34.44,0.0,"ASCC_85.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 87","nan",255.74998,-28.45,34.0,20640.0,15756.0,-3.73,4.17,-6.79,3.95,0.1,4884.0,-3.13,17.94,-6.96,18.32,0.01,"ASCC_87.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 88","nan",256.69583,-35.6,34.0,8125.0,6501.0,-5.01,4.11,-0.5,3.98,0.11,1624.0,-5.45,22.08,-2.85,24.19,0.01,"ASCC_88.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 9","nan",41.72917,57.73,11.2,528.0,394.0,-0.93,1.69,-0.33,2.82,-0.22,134.0,3.05,12.52,0.87,14.11,0.01,"ASCC_9.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 90","nan",264.77914,-34.8,22.6,6541.0,5383.0,0.3,3.35,-0.8,3.29,0.14,1158.0,1.05,25.22,-3.11,24.38,0.03,"ASCC_90.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 91","nan",267.22498,-37.36,19.0,10856.0,6788.0,-1.57,5.66,-4.13,5.73,0.08,4068.0,-2.56,22.53,-3.97,22.85,-0.03,"ASCC_91.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 93","nan",272.05417,-22.26,17.2,2291.0,1847.0,-1.22,2.87,-0.8,3.34,0.12,444.0,-3.14,19.7,-3.94,20.0,0.08,"ASCC_93.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 94","nan",273.89999,-14.99,16.0,2253.0,1786.0,1.29,1.38,-0.36,1.86,0.04,467.0,-0.67,15.2,-1.0,13.92,0.02,"ASCC_94.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 95","nan",274.02081,-25.71,20.2,21882.0,13348.0,-0.95,7.26,-5.14,6.57,0.0,8534.0,-0.17,25.56,-2.33,26.05,-0.01,"ASCC_95.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","ASCC 98","nan",280.65002,-33.63,40.0,17009.0,13833.0,1.42,3.48,-5.51,4.13,0.05,3176.0,1.55,19.2,-6.86,20.37,0.01,"ASCC_98.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
