"Cluster","Comment"
"Pleiades","The expected number of WDs is 10.1, 1 WD candidate found, and 1 WD candidate found in the wide search."
"Roslund 6","The expected number of WDs is 5.4, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Roslund 7","The expected number of WDs is 6.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Ruprecht 18","The expected number of WDs is 31.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Ruprecht 65","The expected number of WDs is 3.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Ruprecht 91","The expected number of WDs is 10.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Ruprecht 145","The expected number of WDs is 10.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Ruprecht 147","The expected number of WDs is 0, 6 WD candidates found, and 0 WD candidates found in the wide search."
"Stock 2","The expected number of WDs is 31.3, 2 WD candidates found, and 0 WD candidates found in the wide search."
"Stock 5","The expected number of WDs is 6.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Stock 10","The expected number of WDs is 0.68, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Stock 12","The expected number of WDs is 6.7, 1 WD candidate found, and 0 WD candidates found in the wide search."
"Stock 23","The expected number of WDs is 1.75, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Trumpler 3","The expected number of WDs is 0.81, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Trumpler 7","The expected number of WDs is 4.8, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Trumpler 18","The expected number of WDs is 0.64, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Trumpler 21","The expected number of WDs is 0.45, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Trumpler 30","The expected number of WDs is 47.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"VDBH 23, vdB-Hagen 23","The expected number of WDs is 0.23, 1 WD candidate found, and 0 WD candidates found in the wide search."
"VDBH 34, vdB-Hagen 34","The expected number of WDs is 4.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"VDBH 164, vdB-Hagen 164","The expected number of WDs is 0.0, 0 WD candidates found, and 3 WD candidates found in the wide search."
