"fname","Type","Name","RA_ICRS","DE_ICRS","AllNames"
"ascc77","o","ASCC_77",212.69603971,-62.36042349,"ASCC_77,Ferrero_15,MWSC_2205,Theia_2146"
"ascc79","o","ASCC_79",229.36721461,-61.07482263,"ASCC_79,Alessi_25,MWSC_2288,Theia_89"
"ascc84","m","ASCC_84",238.68273064,-60.71272864,"ASCC_84,MWSC_2333"
"ascc85","o","ASCC_85",251.92430697,-45.57210398,"ASCC_85,MWSC_2465,Theia_156,Theia_3681,Theia_4023"
"ascc87","o","ASCC_87",255.69785201,-28.45807211,"ASCC_87,MWSC_2520,Theia_330"
"ascc88","o","ASCC_88",256.85062355,-35.55640977,"ASCC_88"
"ascc90","o","ASCC_90",264.76196704,-34.81736389,"ASCC_90,Alessi_41,MWSC_2655,Theia_948"
"ascc93","o","ASCC_93",271.91260729,-22.28335608,"ASCC_93,MWSC_2814"
"ascc94","o","ASCC_94",273.92216203,-14.90845919,"ASCC_94,MWSC_2858,UBC_342"
"ascc95","o","ASCC_95",274.0570994,-25.8321451,"ASCC_95,MWSC_2861"
"ascc99","o","ASCC_99",282.17181947,-18.38406542,"ASCC_99,MWSC_2999,Theia_518"
"ascc100","m","ASCC_100",285.40308767,33.60094346,"ASCC_100,MWSC_3038"
"ascc101","o","ASCC_101",288.34468256,36.35990257,"ASCC_101,Alessi_J1913.6+3619,LeDrew_6,MWSC_3070,Theia_445"
"ascc104","m","ASCC_104",294.6958354,18.61877529,"ASCC_104"
"ascc105","o","ASCC_105",295.47160222,27.38609425,"ASCC_105,MWSC_3157,Theia_165,Theia_544"
"ascc106","o","ASCC_106",295.7915641,1.56308576,"ASCC_106,Alessi_44,MWSC_3164"
"ascc107","o","ASCC_107",297.15176841,21.97962092,"ASCC_107,MWSC_3185,Teutsch_J1948.5+2157"
"ascc108","o","ASCC_108",298.38722026,39.34259987,"ASCC_108,MWSC_3201,Theia_3446"
"ascc110","o","ASCC_110",300.72462084,33.52724535,"ASCC_110,MWSC_3234,Theia_3854"
"ascc111","o","ASCC_111",302.96058097,37.53095892,"ASCC_111,MWSC_3274,Theia_196"
"ascc113","o","ASCC_113",317.96259567,38.54530468,"ASCC_113,MWSC_3480,Theia_461"
"ascc114","o","ASCC_114",325.06281466,53.98983419,"ASCC_114,MWSC_3542,Theia_296"
"ascc115","o","ASCC_115",329.18989889,51.54924563,"ASCC_115,MWSC_3575"
"ascc123","m","ASCC_123",340.56270179,54.19891451,"ASCC_123,MWSC_3654"
"ascc125","o","ASCC_125",344.10169328,62.71052173,"ASCC_125,FSR_409,MWSC_3677"
"ascc127","o","ASCC_127",347.30213146,65.18290876,"ASCC_127,MWSC_3704"
"ascc128","o","ASCC_128",350.16142318,54.57336087,"ASCC_128,MWSC_3720"
"alessi2","o","Alessi_2",71.55704798,55.18407081,"Alessi_2,LeDrew_4,MWSC_419"
"alessi3","o","Alessi_3",109.18670262,-46.6802815,"Alessi_3,MWSC_1157,Theia_1011"
"alessi5","o","Alessi_5",160.90215568,-61.11150292,"Alessi_5,MWSC_1844"
"alessi6","o","Alessi_6",220.01119543,-66.13669172,"Alessi_6,MWSC_2240,Theia_996"
"alessi8","o","Alessi_8",232.29794019,-51.31186297,"Alessi_8,MWSC_2298,Theia_252,Theia_335"
"alessi9","o","Alessi_9",265.64238701,-46.74400774,"Alessi_9,MWSC_2670"
"alessi10","o","Alessi_10",301.23229292,-10.52874723,"Alessi_10,LeDrew_3,Theia_535"
"alessi12","o","Alessi_12",310.87081617,23.53846771,"Alessi_12,LeDrew_2,MWSC_3404,Theia_254"
"alessi13","m","Alessi_13",51.99294197,-35.77331776,"Alessi_13,Chi_For_Group,Harrington_2,MWSC_278,Ramakers_26,Slotegraaf_3"
"alessi17","o","Alessi_17",113.85198536,-15.09840827,"Alessi_17,MWSC_1271"
"alessi19","o","Alessi_19",274.53414341,11.89734723,"Alessi_19,LeDrew_5,MWSC_2887,OC_0068"
"alessi20","o","Alessi_20",2.64349963,58.75651282,"Alessi_20,Theia_34"
"alessi21","o","Alessi_21",107.59181197,-9.31830449,"Alessi_21"
"alessi22","m","Alessi_22",357.17231417,36.2292495,"Alessi_22,CWNU_1254,Theia_1106"
"alessi24","o","Alessi_24",260.97843601,-62.81755799,"ASCC_89,Alessi_24,LISC-III_3249,MWSC_2582,OC_0638"
"alessi31","o","Alessi_31",267.74826086,-11.85713699,"ASCC_92,Alessi_31,MWSC_2723,Theia_739"
"alessi33","o","Alessi_33",105.70988129,-26.36541844,"ASCC_32,Alessi_33,MWSC_1069,Theia_87"
"alessi34","o","Alessi_34",120.06233695,-50.65517502,"ASCC_44,Alessi_34,MWSC_1414"
"alessi36","o","Alessi_36",106.56512637,-37.59593941,"Alessi_36,FoF_2385,LP_2385,UBC_7"
"alessi37","o","Alessi_37",341.97069106,46.2901708,"ASCC_124,Alessi_37,MWSC_3663"
"alessi40","o","Alessi_40",279.27070851,-19.16822916,"ASCC_97,Alessi_40,MWSC_2963,Theia_462"
"alessi43","o","Alessi_43",132.57641692,-41.69151493,"ASCC_50,Alessi_43,Theia_2087,Theia_28"
"alessi50","o","Alessi_50",95.51796224,21.07346545,"Alessi_50,DSH_J0622.0+2104,FSR_901,UBC_1307"
"alessi53","o","Alessi_53",97.35196741,9.17805141,"Alessi_53,DC_7,DSH_J0629.4+0910,FSR_986,MWSC_879"
"alessi59","o","Alessi_59",103.0751737,2.19746993,"Alessi_59,DSH_J0652.3+0211,MWSC_1004"
"alessi60","o","Alessi_60",105.61974383,-1.11998444,"Alessi_60,Alessi_J0702.4-0108,DSH_J0702.4-0108,MWSC_1071"
"alessi62","o","Alessi_62",283.96256779,21.60735561,"Alessi_62,MWSC_3025,Theia_1131"
"alessi72","o","Alessi_72",106.53652935,-16.06804913,"Alessi_72,CWNU_1157,Theia_2063"
"alessi84","m","Alessi_84",110.51006607,55.38448205,"Alessi_84,CWNU_1128,RSG_2,TRSG_2"
"alessi94","m","Alessi_94",5.26858208,46.53083994,"Alessi_94,Theia_841,UBC_2"
"alessi96","o","Alessi_96",75.48517133,37.4875441,"Alessi_96,RSG_1,TRSG_1,Theia_380"
"alessi116","o","Alessi_116",310.24437129,20.06965092,"Alessi_116,Theia_1177,UBC_131,UPK_84"
"alessi144","o","Alessi_144",112.59175546,5.71678329,"Alessi_144,UPK_418"
"alessi145","m","Alessi_145",120.95358694,3.9850883,"Alessi_145,Theia_467,UBC_13"
"alessi161","o","Alessi_161",283.78895209,12.32006789,"Alessi_161,UBC_3"
"alessi170","o","Alessi_170",100.45645653,-5.23928191,"Alessi_170,Theia_3522,UBC_215"
"alessi190","o","Alessi_190",238.7476695,-47.61920524,"Alessi_190,Theia_950,UBC_5"
"alessi191","m","Alessi_191",282.13497588,22.06131497,"Alessi_191,UBC_577"
"alessi80b","o","Alessi_80B",268.13156807,-38.67051789,"Alessi_80B"
"alessij06016p3531","o","Alessi_J0601.6+3531",90.39744412,35.52551595,"Alessi_J0601.6+3531,Alessi_J0601.6+3531a,Theia_3400,UBC_1579"
"alessij06224p2114","o","Alessi_J0622.4+2114",95.59320864,21.24941095,"Alessi_J0622.4+2114,CWNU_1404"
"alessij19337p1147","o","Alessi_J1933.7+1147",293.4332191,11.79094954,"Alessi_J1933.7+1147"
"alessij23270p55","o","Alessi_J2327.0+55",352.05091731,55.61456581,"ASCC_129,Alessi_70,Alessi_J2327+55,Alessi_J2327.0+55,Alessi_J2327.6+5535,MWSC_3730"
"alessiteutsch3","o","Alessi-Teutsch_3",118.28551424,-53.00078285,"ASCC_42,AT_3,Alessi-Teutsch_3,Alessi_30,Alessi_Teutsch_3,MWSC_1373"
"alessiteutsch4","m","Alessi-Teutsch_4",126.03292919,-8.37472945,"AT_4,Alessi-Teutsch_4,Alessi_26,RSG_3,TRSG_3,Theia_929,UBC_12"
"alessiteutsch5","o","Alessi-Teutsch_5",332.04315074,61.05242842,"ASCC_118,AT_5,Alessi-Teutsch_5,Alessi_27,Alessi_Teutsch_5,MWSC_3589"
"alessiteutsch8","o","Alessi-Teutsch_8",180.70298318,-60.95324402,"ASCC_68,AT_8,Alessi-Teutsch_8,Alessi_Teutsch_8,MWSC_1993,Theia_498"
"alessiteutsch9","o","Alessi-Teutsch_9",51.86276858,34.88647655,"ASCC_10,AT_9,Alessi-Teutsch_9,Alessi_Teutsch_9,MWSC_275,Theia_557"
"alessiteutsch10","o","Alessi-Teutsch_10",56.3306327,29.74158911,"Alessi-Teutsch_10,Alessi_Teutsch_10,OC_0278,UBC_19"
"alessiteutsch11","o","Alessi-Teutsch_11",304.10168931,52.07425148,"ASCC_112,AT_11,Alessi-Teutsch_11,Alessi_46,Alessi_J2016.5+5204,Alessi_Teutsch_11,MWSC_3295,Theia_397"
"alessiteutsch12","o","Alessi-Teutsch_12",255.41145475,-59.00764117,"ASCC_86,AT_12,Alessi-Teutsch_12,Alessi_J1701.7-5857,Alessi_Teutsch_12,MWSC_2513,Theia_257"
"alessiteutsch21","o","Alessi-Teutsch_21",15.09786677,55.4063363,"AT_21,Alessi-Teutsch_1,Alessi-Teutsch_21,Alessi_23,COIN-Gaia_2,Theia_2869,Theia_3945"
"andrewslindsay5","o","Andrews-Lindsay_5",281.07817144,-4.92992738,"Andrews-Lindsay_5,Andrews_Lindsay_5"
"antalova1","o","Antalova_1",262.21135724,-31.61441196,"Antalova_1,MWSC_2605,OCL_1027.1"
"antalova2","o","Antalova_2",262.44418977,-32.55098917,"Antalova_2,MWSC_2610,OCL_1021.1"
"archinal1","o","Archinal_1",283.70852293,5.54980035,"Archinal_1,MWSC_3021"
"arp2","g","Arp_2",292.17692951,-30.3536403,"Arp_2,ESO_460-6,GCL_112,MWSC_3127"
"auner1","o","Auner_1",106.06351519,-19.7468929,"Auner_1,ESO_558-8,MWSC_1087"
"avenihunter1","o","Aveni-Hunter_1",354.26258138,48.49009576,"Aveni-Hunter_1,Aveni_Hunter_1,Theia_33"
"bdsb30","o","BDSB_30",333.66292652,61.44353163,"BDSB30,BDSB_30,Kronberger_15,MWSC_3601"
"bdsb82","o","BDSB_82",93.73365452,12.34906477,"BDSB_82"
"bdsb91","o","BDSB_91",96.31552174,-10.55788755,"BDSB91,BDSB_91"
"bdsb93","o","BDSB_93",104.29515076,-8.19506888,"BDSB93,BDSB_93"
"bdsb96","o","BDSB_96",106.33162133,-12.32451056,"BDSB96,BDSB_96,Theia_1654"
"bdsb124","o","BDSB_124",280.80150952,-3.62580196,"BDSB_124"
"vdbh19,bh19","o","BH_19",121.7684795,-32.35786541,"BH_19,ESO_430-21,MWSC_1433,vdBergh-Hagen_19"
"vdbh23,bh23","o","BH_23",123.44775389,-36.3562227,"BH_23,Theia_80"
"vdbh37,bh37","o","BH_37",128.94934769,-43.60432864,"BH_37,ESO_259-13,FSR_1410,MWSC_1509,OC_0475,vdBergh-Hagen_37"
"vdbh54,bh54","o","BH_54",132.41172498,-44.35319866,"BH_54,vdBergh-Hagen_54"
"vdbh55,bh55","o","BH_55",134.04050267,-39.52239231,"BH_55,ESO_314-1,FSR_1404,MWSC_1600,vdBergh-Hagen_55"
"vdbh56,bh56","o","BH_56",134.3693655,-43.22044909,"BH_56,ESO_260-12,MWSC_1605,Magakian_425,vdBergh-Hagen_56"
"vdbh66,bh66","o","BH_66",141.31666874,-54.71944957,"BH_66,ESO_166-11,MWSC_1667,UKS_2,vdBergh-Hagen_66"
"vdbh67,bh67","o","BH_67",141.68430393,-51.27311496,"BH_67,ESO_212-7,FSR_1486,MWSC_1669,vdBergh-Hagen_67"
"vdbh72,bh72","o","BH_72",142.8419768,-53.04170424,"BH_72,ESO_166-20,FSR_1494,MWSC_1681,OC_0516,UBC_491,vdBergh-Hagen_72"
"vdbh73,bh73","o","BH_73",142.98187661,-50.22324762,"BH_73,ESO_212-9,FSR_1483,MWSC_1682,vdBergh-Hagen_73"
"vdbh75,bh75","o","BH_75",143.80069106,-54.62675864,"BH_75,Theia_2092,Theia_2114,vdBergh-Hagen_75"
"vdbh78,bh78","o","BH_78",145.95099011,-56.57429224,"BH_78,FSR_1512,MWSC_1706,vdBergh-Hagen_78"
"vdbh79,bh79","o","BH_79",146.1630838,-53.27497294,"BH_79,CWNU_2646,MWSC_1708,vdBergh-Hagen_79"
"vdbh84,bh84","o","BH_84",150.33053281,-58.22375019,"BH_84,vdBergh-Hagen_84"
"vdbh85,bh85","o","BH_85",150.46632467,-49.56158275,"BH_85,ESO_213-5,FSR_1501,MWSC_1748,MWSC_1750,OC_0520,vdBergh-Hagen_85"
"vdbh87,bh87","o","BH_87",151.14551475,-55.39112823,"BH_87,OC_0532,Theia_2288,Theia_2644,vdBergh-Hagen_87"
"vdbh88,bh88","o","BH_88",151.61548895,-51.55472154,"BH_88,MWSC_1764,OC_0529,vdBergh-Hagen_88"
"vdbh90,bh90","o","BH_90",153.05213814,-58.07528763,"BH_90,vdBergh-Hagen_90"
"vdbh92,bh92","o","BH_92",154.77382641,-56.42269665,"BH_92,ESO_168-1,FSR_1533,MWSC_1791,OC_0535,vdBergh-Hagen_92"
"vdbh99,bh99","o","BH_99",159.55376765,-59.10926371,"BH_99,vdBergh-Hagen_99"
"vdbh106,bh106","m","BH_106",163.34897088,-54.24813215,"BH_106,MWSC_1863,vdBergh-Hagen_106"
"vdbh110,bh110","o","BH_110",166.77134347,-61.50967266,"BH_110,MWSC_1894,vdBergh-Hagen_110"
"vdbh111,bh111","o","BH_111",167.31660268,-63.83025709,"BH_111,ESO_93-5,MWSC_1901,OC_0561,vdBergh-Hagen_111"
"vdbh118,bh118","o","BH_118",170.75696188,-58.54575293,"BH_118,ESO_129-20,MWSC_1939,vdBergh-Hagen_118"
"vdbh131,bh131","o","BH_131",186.56167898,-63.41572946,"BH_131,FSR_1615,MWSC_2030,vdBergh-Hagen_131"
"vdbh132,bh132","o","BH_132",186.73128048,-64.05576826,"BH_132,MWSC_2032,vdBergh-Hagen_132"
"vdbh140,bh140","g","BH_140",193.45777358,-67.17982901,"BH_140,FSR_1632,MWSC_2071,OC_0586,vdBergh-Hagen_140"
"vdbh144,bh144","o","BH_144",198.8332198,-65.91788942,"AL_1,Andrews-Lindsay_1,BH_144,ESO_96-4,MWSC_2098,vdBergh-Hagen_144"
"vdbh150,bh150","o","BH_150",204.51716848,-63.34404062,"BH_150,vdBergh-Hagen_150"
"vdbh151,bh151","o","BH_151",205.04414134,-61.72825146,"BH_151,vdBergh-Hagen_151"
"vdbh164,bh164","o","BH_164",222.3238529,-66.39249343,"Alessi_7,BH_164,MWSC_2255,vdBergh-Hagen_164"
"vdbh176,bh176","g","BH_176",234.78082723,-50.05123204,"BH_176,ESO_224-8,FSR_1710,MWSC_2308,vdBergh-Hagen_176"
"vdbh184,bh184","g","BH_184",242.76562051,-55.31961628,"BH_184,ESO_178-11,FSR_1711,Lynga_7,MWSC_2361,OCL_949"
"vdbh200,bh200","o","BH_200",252.48219752,-44.1923048,"BH_200,ESO_277-15,MWSC_2471,OC_0671,vdBergh-Hagen_200"
"vdbh202,bh202","o","BH_202",253.78720833,-40.95669515,"BH_202,Collinder_316,ESO_332-9,MWSC_2486,Ruprecht_122,Theia_3570"
"vdbh205,bh205","o","BH_205",254.0326691,-40.65487212,"BH_205,Collinder_316,Trumpler_24"
"vdbh211,bh211","o","BH_211",255.52714971,-41.1121459,"BH_211,ESO_332-16,MWSC_2518,vdBergh-Hagen_211"
"vdbh217,bh217","o","BH_217",259.07312716,-40.81763023,"BH_217,ESO_333-2,MWSC_2553,vdBergh-Hagen_217"
"vdbh221,bh221","o","BH_221",259.59353676,-32.38955234,"BH_221,ESO_454-6,MWSC_2563,OC_0691,vdBergh-Hagen_221"
"vdbh222,bh222","o","BH_222",259.6453276,-38.42510941,"BH_222,CWNU_2715,ESO_333-4,MWSC_2564,vdBergh-Hagen_222"
"vdbh229,bh229","g","BH_229",262.77645316,-29.98455715,"BH_229,Dufay_1,ESO_455-11,FSR_1781,GCL_67,HP_1,MWSC_2615,vdBergh-Hagen_229"
"vdbh231,bh231","o","BH_231",262.94560595,-31.91502594,"BH_231,MWSC_2620,UBC_568,vdBergh-Hagen_231"
"vdbh245,bh245","o","BH_245",266.56445156,-29.706056,"BH_245,ESO_455-35,MWSC_2687,vdBergh-Hagen_245"
"vdbh261,bh261","g","BH_261",273.52388355,-28.64037724,"AL_3,Andrews-Lindsay_3,BH_261,ESO_456-78,MWSC_2847,vdBergh-Hagen_261"
"barkhatova1","o","Barkhatova_1",313.40648205,46.02079841,"Barkhatova_1,Theia_3147"
"basel1","o","Basel_1",282.02652767,-5.86988899,"Apriamaswili_1,Basel_1,MWSC_2996,OCL_77"
"basel4","o","Basel_4",87.24311675,30.19188752,"Basel_4,Czernik_22,FSR_825,MWSC_672,OCL_455,OC_0295"
"basel8","o","Basel_8",98.57611698,7.8608743,"Basel_8,MWSC_907,OCL_499.1"
"basel10","o","Basel_10",34.86458596,58.29413605,"Basel_10,Dolidze_47b,FSR_586,MWSC_176,OCL_349.1,OC_0245"
"basel13","o","Basel_13",318.30670411,46.55076462,"Basel_13,Bica_652"
"basel17","o","Basel_17",167.63728151,-59.03539336,"Basel_17"
"basel18","o","Basel_18",201.94883152,-62.30282084,"Basel_18,Theia_2139"
"basel11a","o","Basel_11A",109.29335437,-13.9825289,"Basel_11A,Basel_11a,MWSC_1162,OCL_584.1"
"basel11b","o","Basel_11B",89.55009155,21.9736243,"Basel_11B,Basel_11b,FSR_877,MWSC_696,OCL_469.1"
"berkeley1","o","Berkeley_1",2.45552746,60.47095503,"Berkeley_1"
"berkeley2","o","Berkeley_2",6.32180813,60.39113775,"Berkeley_2,FSR_489,MWSC_41,OCL_289"
"berkeley4","o","Berkeley_4",11.29923015,64.39012758,"Berkeley_4,MWSC_73,OCL_307,OC_0229,OC_0230"
"berkeley6","o","Berkeley_6",27.80588167,61.05801023,"Berkeley_6"
"berkeley7","o","Berkeley_7",28.5425983,62.36606203,"Berkeley_7"
"berkeley8","o","Berkeley_8",30.29730603,75.49071205,"Berkeley_8,FSR_545,MWSC_158,OCL_323"
"berkeley9","o","Berkeley_9",53.17389187,52.65192139,"Berkeley_9,FSR_646,MWSC_286,OCL_388"
"berkeley10","o","Berkeley_10",54.88477481,66.48904483,"Berkeley_10,FSR_623,MWSC_290,OCL_370"
"berkeley11","o","Berkeley_11",65.12077076,44.92386325,"Berkeley_11,MWSC_368,OCL_404"
"berkeley12","o","Berkeley_12",71.09584468,42.69143768,"Berkeley_12,FSR_710,MWSC_413,OCL_412"
"berkeley13","o","Berkeley_13",73.95276608,52.81025872,"Berkeley_13,MWSC_439,OCL_402"
"berkeley14","o","Berkeley_14",74.93325197,43.48151676,"Berkeley_14,Berkeley_14A,FSR_726,MWSC_448,MWSC_449,OCL_416"
"berkeley15","o","Berkeley_15",75.52380308,44.50728146,"Berkeley_15"
"berkeley17","o","Berkeley_17",80.14147184,30.57427186,"Berkeley_17,FSR_800,MWSC_509,OCL_447"
"berkeley18","o","Berkeley_18",80.5536708,45.46785151,"Berkeley_18,FSR_731,King_22,MWSC_512,OCL_419,OCL_420"
"berkeley19","o","Berkeley_19",81.01323535,29.57177077,"Berkeley_19,MWSC_527,OCL_450"
"berkeley20","o","Berkeley_20",83.15437664,0.18844258,"Berkeley_20,MWSC_572,OCL_497"
"berkeley21","o","Berkeley_21",87.948987,21.81077389,"Berkeley_21,FSR_875,MWSC_682,OCL_469,Theia_4235"
"berkeley22","o","Berkeley_22",89.61504356,7.75885126,"Berkeley_22,MWSC_698,OCL_490"
"berkeley23","o","Berkeley_23",98.31505922,20.53468901,"Berkeley_23,FSR_917,MWSC_902,OCL_478"
"berkeley24","o","Berkeley_24",99.44505396,-0.87700037,"Berkeley_24,FSR_1070,MWSC_937,OCL_539"
"berkeley25","o","Berkeley_25",100.31229688,-16.48689544,"Berkeley_25,MWSC_955,OCL_576"
"berkeley27","o","Berkeley_27",102.83742854,5.76846219,"Berkeley_27,Biurakan_11,MWSC_999,OCL_521,OC_0344"
"berkeley28","o","Berkeley_28",103.02929723,2.91875935,"Berkeley_28,Biurakan_10,MWSC_1002,OCL_532"
"berkeley29","o","Berkeley_29",103.26589601,16.92587374,"Berkeley_29,MWSC_1008,OCL_486"
"berkeley30","o","Berkeley_30",104.4368525,3.22755948,"Berkeley_30,Biurakan_9,FSR_1058,MWSC_1034,OCL_534,OC_0350"
"berkeley31","o","Berkeley_31",104.40671972,8.28813294,"Berkeley_31,Biurakan_7,FSR_1012,MWSC_1032,OCL_513"
"berkeley32","o","Berkeley_32",104.53104054,6.43326437,"Berkeley_32,Biurakan_8,MWSC_1037,OCL_522,Theia_4440"
"berkeley33","o","Berkeley_33",104.46237821,-13.22613936,"Berkeley_33"
"berkeley34","o","Berkeley_34",105.09448823,-0.23681353,"Berkeley_34"
"berkeley35","o","Berkeley_35",107.48016823,2.73106662,"Berkeley_35,FSR_1075,MWSC_1129,MWSC_1130,OCL_541"
"berkeley36","o","Berkeley_36",109.10023535,-13.19347297,"Berkeley_36,FSR_1214,MWSC_1156,OCL_577,OC_0387"
"berkeley37","o","Berkeley_37",110.06892409,-0.99820522,"Berkeley_37,FSR_1119,MWSC_1180,OCL_551"
"berkeley39","o","Berkeley_39",116.70733306,-4.67270544,"Berkeley_39,FSR_1174,MWSC_1336,OCL_561"
"berkeley43","o","Berkeley_43",288.87999432,11.26878748,"Berkeley_43,FSR_122,MWSC_3075,OCL_102,OC_0071"
"berkeley44","o","Berkeley_44",289.31444576,19.54819668,"Berkeley_44,FSR_138,MWSC_3082,OCL_110"
"berkeley45","o","Berkeley_45",289.77525581,15.71689671,"Berkeley_45,MWSC_3086,OCL_107"
"berkeley47","o","Berkeley_47",292.12645067,17.36091091,"Berkeley_47,MWSC_3126,OCL_109"
"berkeley49","o","Berkeley_49",299.8686188,34.64270729,"Berkeley_49,FSR_191,OCL_144"
"berkeley50","o","Berkeley_50",302.50652712,34.9682249,"Berkeley_50,UBC_138"
"berkeley51","o","Berkeley_51",302.97176476,34.4038843,"Berkeley_51,FSR_197,MWSC_3280,OCL_146"
"berkeley52","o","Berkeley_52",303.62144322,28.9469945,"Berkeley_52,FSR_179,MWSC_3288,OCL_140"
"berkeley53","o","Berkeley_53",313.98152488,51.0512391,"Berkeley_53,FSR_289,MWSC_3435,OCL_207"
"berkeley54","o","Berkeley_54",315.74246296,40.42927571,"Berkeley_54,FSR_256,MWSC_3456,OCL_194"
"berkeley55","o","Berkeley_55",319.23479269,51.76087839,"Berkeley_55"
"berkeley56","o","Berkeley_56",319.38483781,41.82826884,"Berkeley_56,FSR_269,MWSC_3491,OCL_199"
"berkeley58","o","Berkeley_58",0.05464947,60.92973741,"Berkeley_58,MWSC_1,OCL_277"
"berkeley59","o","Berkeley_59",0.56967249,67.42861858,"Berkeley_59,Theia_670"
"berkeley60","o","Berkeley_60",4.43697017,60.94083702,"Berkeley_60,MWSC_29,OCL_288,OC_0222"
"berkeley61","o","Berkeley_61",12.0425672,67.19772949,"Berkeley_61,FSR_514,MWSC_75,OCL_308"
"berkeley62","o","Berkeley_62",15.31337423,63.9414744,"Berkeley_62"
"berkeley63","o","Berkeley_63",34.85071123,63.71936307,"Berkeley_63,MWSC_177,OCL_346"
"berkeley64","o","Berkeley_64",35.43259371,65.88846252,"Berkeley_64,MWSC_182,OCL_344,OC_0241"
"berkeley65","o","Berkeley_65",39.76646771,60.40004842,"Berkeley_65"
"berkeley66","o","Berkeley_66",46.01923513,58.74200287,"Berkeley_66,FSR_624,MWSC_255,OCL_373"
"berkeley67","o","Berkeley_67",69.45900837,50.77596673,"Berkeley_67,FSR_677,MWSC_404,OCL_400,Theia_5855"
"berkeley68","o","Berkeley_68",71.04949685,42.1612288,"Berkeley_68,FSR_713,MWSC_412,OCL_413,OC_0277"
